par_bin,bin_n,par_fam_inc,par_inc_log,kid_fam_rank,kid_fam_bin,kid_fam_inc,kidzero,kid_inc_log,kid_inc_log_z,kid_inc_log_z1000,college,kid_teenbirth_givenf,coll_qual_20_rank
15,98677,20000,9.903300285,0.380129993,38.52199936,30600,0.097489998,9.922100067,8.954799652,2.755539894,0.356000006,0.275830001,0.37957
16,98677,21000,9.950699806,0.381709993,38.68259811,30700,0.099409997,9.930299759,8.943200111,2.758150101,0.35988,0.272280008,0.38114
17,98678,21900,9.995900154,0.387479991,39.25960159,31100,0.095040001,9.952199936,9.006400108,2.787549973,0.369049996,0.267659992,0.38423
18,98677,22900,10.03899956,0.389789999,39.48889923,31700,0.093819998,9.955599785,9.02159977,2.797060013,0.376700014,0.261779994,0.3875
19,98676,23900,10.08059978,0.392780006,39.78739929,31900,0.094180003,9.970600128,9.031700134,2.807590008,0.380169988,0.258069992,0.38783
20,98679,24900,10.12080002,0.396039993,40.11399841,32200,0.092220001,9.985300064,9.064499855,2.82604003,0.389349997,0.257279992,0.392
21,98677,25800,10.15960026,0.399300009,40.4396019,32700,0.089680001,9.992899895,9.09679985,2.841219902,0.395090014,0.251120001,0.39456
22,98677,26800,10.19740009,0.405050009,41.01449966,33700,0.089230001,10.01879978,9.124899864,2.864370108,0.403160006,0.24876,0.39758
23,98678,27800,10.23390007,0.408230007,41.33140182,33700,0.086390004,10.03050041,9.163999557,2.884190083,0.410210013,0.241689995,0.40024
24,98677,28800,10.26959991,0.410809994,41.59030151,34000,0.085519999,10.03479958,9.176600456,2.891570091,0.41534999,0.24064,0.40284
25,98677,29900,10.30430031,0.415630013,42.07160187,34700,0.085089996,10.05949974,9.203700066,2.913579941,0.41821,0.235730007,0.40316
26,98678,30900,10.33829975,0.419970006,42.50690079,35200,0.082359999,10.06849957,9.239299774,2.931119919,0.427130014,0.232260004,0.40797
27,98677,31900,10.37139988,0.423119992,42.82149887,35700,0.08179,10.08370018,9.258999825,2.9454,0.431840003,0.230540007,0.41005
28,98678,33000,10.40390015,0.426180005,43.1257019,35900,0.081529997,10.09720039,9.274100304,2.957930088,0.440109998,0.223189995,0.41302
29,98676,34100,10.43570042,0.430689991,43.57550049,36800,0.080049999,10.11229992,9.302900314,2.976000071,0.442959994,0.218329996,0.41479
30,98678,35100,10.46730042,0.434159994,43.92459869,36900,0.078050002,10.12100029,9.331100464,2.991379976,0.450949997,0.214000002,0.4182
31,98678,36300,10.4982996,0.43900001,44.4090004,37600,0.076269999,10.14099979,9.367600441,3.013940096,0.459380001,0.213410005,0.42129
32,98677,37400,10.52869987,0.441179991,44.6257019,37700,0.074919999,10.14620018,9.38599968,3.022900105,0.468210012,0.208090007,0.42555
33,98677,38500,10.55860043,0.446619987,45.16830063,38400,0.07322,10.16609955,9.42179966,3.04805994,0.471769989,0.201849997,0.42666
34,98677,39700,10.58810043,0.450029999,45.50989914,39000,0.072240002,10.17920017,9.443900108,3.060960054,0.479299992,0.198070005,0.43023
35,98678,40800,10.61709976,0.453619987,45.86970139,39200,0.070990004,10.19069958,9.467300415,3.07614994,0.487040013,0.193949997,0.43228
36,98677,42000,10.64560032,0.456550002,46.16289902,39600,0.070299998,10.20370007,9.486399651,3.089780092,0.49338001,0.193619996,0.43607
37,98678,43200,10.67380047,0.462669998,46.77460098,40400,0.069449998,10.22609997,9.515899658,3.112849951,0.501119971,0.187460005,0.44098
38,98676,44400,10.70129967,0.465030015,47.01079941,40900,0.068319999,10.23600006,9.536600113,3.124850035,0.505500019,0.187189996,0.4421
39,98679,45600,10.72840023,0.468809992,47.38809967,41500,0.06498,10.24520016,9.579500198,3.144390106,0.508960009,0.182799995,0.44439
40,98677,46900,10.75500011,0.472240001,47.73120117,41600,0.065710001,10.26130009,9.586999893,3.156330109,0.519190013,0.175160006,0.44754
41,98677,48100,10.78100014,0.475340009,48.0401001,42100,0.063550003,10.26690006,9.614500046,3.169420004,0.522660017,0.174309999,0.4502
42,98678,49300,10.80650043,0.478909999,48.39799881,42300,0.063759997,10.28250027,9.626899719,3.182410002,0.530330002,0.170379996,0.45335
43,98677,50600,10.83150005,0.481830001,48.68870163,42900,0.060819998,10.2901001,9.664299965,3.199529886,0.53342998,0.168640003,0.4538
44,98677,51800,10.85599995,0.484100014,48.91579819,43000,0.060929999,10.29500008,9.667900085,3.20491004,0.540520012,0.168149993,0.45731
45,98678,53100,10.88000011,0.488660008,49.37260056,43500,0.059409998,10.3132,9.70059967,3.22548008,0.544200003,0.163910002,0.4609
46,98678,54400,10.90359974,0.490880013,49.59420013,43500,0.057560001,10.31900024,9.725099564,3.236880064,0.552280009,0.163029999,0.46246
47,98676,55600,10.92669964,0.49425,49.92950058,44600,0.058279999,10.33040047,9.72840023,3.245409966,0.561609983,0.159779996,0.46742
48,98678,56900,10.94929981,0.498070002,50.31409836,45000,0.056030001,10.35050011,9.770600319,3.268939972,0.563549995,0.153410003,0.46849
49,98677,58200,10.9715004,0.502210021,50.72740173,45700,0.056589998,10.36170006,9.775400162,3.278439999,0.569469988,0.150020003,0.47086
50,98677,59500,10.99349976,0.504230022,50.92900085,45700,0.0561,10.36900043,9.78730011,3.287509918,0.576619983,0.149560004,0.47425
51,98678,60800,11.01500034,0.508949995,51.40010071,46300,0.053089999,10.38370037,9.832500458,3.310529947,0.584519982,0.145099998,0.47719
52,98677,62100,11.03619957,0.511229992,51.62689972,47000,0.052450001,10.38939953,9.844400406,3.318799973,0.592999995,0.144089997,0.48257
53,98677,63400,11.05700016,0.51424998,51.93149948,47200,0.050859999,10.39750004,9.868700027,3.33239007,0.594269991,0.141100004,0.48333
54,98678,64700,11.07750034,0.516629994,52.16910172,47400,0.050829999,10.4048996,9.876099586,3.339970112,0.605849981,0.140080005,0.4876
55,98678,66000,11.09780025,0.52076,52.58050156,48000,0.050349999,10.42389965,9.899200439,3.357409954,0.609089971,0.136639997,0.48979
56,98677,67400,11.11769962,0.522669971,52.77180099,48300,0.049419999,10.42689991,9.911499977,3.363620043,0.612450004,0.135749996,0.49201
57,98677,68700,11.13759995,0.525240004,53.02909851,48700,0.04989,10.43840027,9.917599678,3.372289896,0.619840026,0.129470006,0.49418
58,98677,70100,11.15719986,0.528450012,53.35160065,49200,0.047800001,10.44919968,9.949700356,3.389369965,0.628740013,0.127629995,0.49928
59,98678,71400,11.17669964,0.533010006,53.80739975,50100,0.046999998,10.46710014,9.975099564,3.408449888,0.63507998,0.125369996,0.5043
